CONFIG nvar=15 counts=257,256,1024,4096,16384,65536 warmups=3 repeats=11 iters=16 timing=rdcycle+clock_gettime
SUMMARY variant=L=m2_A=1 n=16384 best_ns=2817.500 best_cyc=5151
SUMMARY variant=L=m2_A=2 n=16384 best_ns=4711.250 best_cyc=8606
CORRECTNESS n=65536 ok oracle=-25268
SUMMARY variant=genuine-scalar n=65536 best_ns=108641.250 best_cyc=198285
SUMMARY variant=naive-mf4-anchor n=65536 best_ns=54992.500 best_cyc=100373
SUMMARY variant=L=mf4_A=1 n=65536 best_ns=68892.500 best_cyc=125743
SUMMARY variant=L=mf4_A=2 n=65536 best_ns=68651.250 best_cyc=125300
SUMMARY variant=L=mf4_A=4 n=65536 best_ns=69036.250 best_cyc=126005
SUMMARY variant=L=mf4_A=8 n=65536 best_ns=68505.000 best_cyc=125036
SUMMARY variant=L=mf2_A=1 n=65536 best_ns=35692.500 best_cyc=65152
SUMMARY variant=L=mf2_A=2 n=65536 best_ns=35050.000 best_cyc=63980
SUMMARY variant=L=mf2_A=4 n=65536 best_ns=35627.500 best_cyc=65033
SUMMARY variant=L=mf2_A=8 n=65536 best_ns=35487.500 best_cyc=64777
SUMMARY variant=L=m1_A=1 n=65536 best_ns=18647.500 best_cyc=34047
SUMMARY variant=L=m1_A=2 n=65536 best_ns=18548.750 best_cyc=33864
SUMMARY variant=L=m1_A=4 n=65536 best_ns=18600.000 best_cyc=33959
SUMMARY variant=L=m2_A=1 n=65536 best_ns=14408.750 best_cyc=26307
SUMMARY variant=L=m2_A=2 n=65536 best_ns=23978.750 best_cyc=43774
PASS accumulator-sweep counts=257,256,1024,4096,16384,65536 sink=-90580757.6
